,SEASON_ID_x,Player_ID,Game_ID,GAME_DATE_x,MATCHUP_x,WL_x,MIN_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PLUS_MINUS_x,VIDEO_AVAILABLE,PTS/48,SEASON_ID_y,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE_y,MATCHUP_y,WL_y,MIN_y,PTS_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PLUS_MINUS_y,TS_x
0,22018,201566,0021801226,"APR 10, 2019",OKC @ MIL,W,36,7,10,0.7,1,3,0.333,0,2,0.0,0,11,11,17,1,1,4,3,15,6,1,20.0,22018,1610612760,OKC,Oklahoma City Thunder,0021801226,2019-04-10,OKC @ MIL,W,240,127,48,99,0.485,23,54,0.426,8,13,0.615,9,44,53,40,7,3,12,20,11.0,0.6893382352941176
1,22018,201566,0021801218,"APR 09, 2019",OKC vs. HOU,W,37,11,23,0.478,4,10,0.4,3,3,1.0,2,10,12,10,0,0,3,4,29,3,1,37.62162162162162,22018,1610612760,OKC,Oklahoma City Thunder,0021801218,2019-04-09,OKC vs. HOU,W,240,112,40,96,0.417,16,41,0.39,16,20,0.8,18,38,56,20,5,2,12,19,1.0,0.5962171052631579
2,22018,201566,0021801197,"APR 07, 2019",OKC @ MIN,W,38,10,22,0.455,2,6,0.333,5,7,0.714,1,9,10,15,1,0,4,3,27,-1,1,34.10526315789474,22018,1610612760,OKC,Oklahoma City Thunder,0021801197,2019-04-07,OKC @ MIN,W,239,132,48,92,0.522,14,34,0.412,22,26,0.846,14,32,46,27,6,4,13,30,6.0,0.5382775119617226
3,22018,201566,0021801186,"APR 05, 2019",OKC vs. DET,W,35,6,18,0.333,1,4,0.25,6,10,0.6,1,7,8,15,1,0,4,2,19,4,1,26.057142857142857,22018,1610612760,OKC,Oklahoma City Thunder,0021801186,2019-04-05,OKC vs. DET,W,240,123,48,101,0.475,12,29,0.414,15,22,0.682,21,38,59,30,10,4,17,24,13.0,0.4241071428571429
4,22018,201566,0021801161,"APR 02, 2019",OKC vs. LAL,W,37,8,23,0.348,2,9,0.222,2,3,0.667,5,15,20,21,3,0,2,2,20,24,1,25.945945945945947,22018,1610612760,OKC,Oklahoma City Thunder,0021801161,2019-04-02,OKC vs. LAL,W,241,119,47,102,0.461,13,44,0.295,12,20,0.6,17,33,50,33,15,7,12,14,16.0,0.41118421052631576
5,22018,201566,0021801146,"MAR 31, 2019",OKC vs. DAL,L,38,9,19,0.474,3,8,0.375,4,4,1.0,2,9,11,11,2,0,3,2,25,-3,1,31.578947368421055,22018,1610612760,OKC,Oklahoma City Thunder,0021801146,2019-03-31,OKC vs. DAL,L,241,103,38,98,0.388,11,43,0.256,16,22,0.727,15,34,49,19,6,6,8,21,-3.0,0.6021194605009633
6,22018,201566,0021801133,"MAR 29, 2019",OKC vs. DEN,L,36,11,22,0.5,1,5,0.2,4,5,0.8,3,6,9,9,2,0,3,3,27,-1,1,36.0,22018,1610612760,OKC,Oklahoma City Thunder,0021801133,2019-03-29,OKC vs. DEN,L,239,105,43,88,0.489,8,27,0.296,11,16,0.688,11,24,35,19,5,5,13,17,-10.0,0.5578512396694215
7,22018,201566,0021801119,"MAR 27, 2019",OKC vs. IND,W,37,6,15,0.4,2,4,0.5,3,4,0.75,1,10,11,12,2,1,2,0,17,8,1,22.054054054054056,22018,1610612760,OKC,Oklahoma City Thunder,0021801119,2019-03-27,OKC vs. IND,W,240,107,41,92,0.446,13,36,0.361,12,19,0.632,9,35,44,29,7,7,6,14,8.0,0.5071599045346061
8,22018,201566,0021801104,"MAR 25, 2019",OKC @ MEM,L,37,6,20,0.3,1,6,0.167,3,6,0.5,0,5,5,7,0,0,1,3,16,-20,1,20.756756756756758,22018,1610612760,OKC,Oklahoma City Thunder,0021801104,2019-03-25,OKC @ MEM,L,241,103,38,95,0.4,12,36,0.333,15,20,0.75,12,29,41,17,8,4,10,25,-12.0,0.35335689045936397
9,22018,201566,0021801083,"MAR 22, 2019",OKC @ TOR,W,37,6,20,0.3,2,9,0.222,4,5,0.8,4,8,12,13,4,1,3,3,18,18,1,23.351351351351354,22018,1610612760,OKC,Oklahoma City Thunder,0021801083,2019-03-22,OKC @ TOR,W,240,116,42,94,0.447,20,43,0.465,12,14,0.857,12,27,39,30,9,6,12,21,7.0,0.40540540540540543
