SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22018,1610612745,HOU,Houston Rockets,0021801218,2019-04-09,HOU @ OKC,L,239,111,38,88,0.432,18,53,0.34,17,20,0.85,9,33,42,18,7,7,11,21,-1.0
22018,1610612745,HOU,Houston Rockets,0021801200,2019-04-07,HOU vs. PHX,W,240,149,53,100,0.53,27,57,0.474,16,21,0.762,12,40,52,34,12,5,9,16,36.0
22018,1610612745,HOU,Houston Rockets,0021801184,2019-04-05,HOU vs. NYK,W,241,120,43,101,0.426,22,59,0.373,12,17,0.706,7,41,48,26,8,2,6,21,24.0
22018,1610612745,HOU,Houston Rockets,0021801176,2019-04-03,HOU @ LAC,W,239,135,47,88,0.534,18,38,0.474,23,29,0.793,12,36,48,22,6,7,16,29,32.0
22018,1610612745,HOU,Houston Rockets,0021801163,2019-04-02,HOU @ SAC,W,241,130,46,94,0.489,26,61,0.426,12,17,0.706,8,35,43,30,8,3,7,20,25.0
22018,1610612745,HOU,Houston Rockets,0021801138,2019-03-30,HOU vs. SAC,W,239,119,39,83,0.47,17,52,0.327,24,27,0.889,6,32,38,19,6,2,9,17,11.0
22018,1610612745,HOU,Houston Rockets,0021801126,2019-03-28,HOU vs. DEN,W,239,112,40,87,0.46,15,40,0.375,17,20,0.85,11,35,46,22,8,3,10,19,27.0
22018,1610612745,HOU,Houston Rockets,0021801111,2019-03-26,HOU @ MIL,L,241,94,36,99,0.364,16,52,0.308,6,7,0.857,8,38,46,17,7,5,13,15,-14.0
22018,1610612745,HOU,Houston Rockets,0021801099,2019-03-24,HOU @ NOP,W,240,113,42,86,0.488,21,49,0.429,8,9,0.889,13,37,50,24,10,5,17,16,23.0
22018,1610612745,HOU,Houston Rockets,0021801084,2019-03-22,HOU vs. SAS,W,239,111,36,86,0.419,14,37,0.378,25,32,0.781,8,40,48,12,5,4,9,19,6.0
